epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,11456.8,1.59309,0.93432,1.49555,0.90993,0.85844,0.93423,0.52233,1.47511,0.7542,1.40651,0.00977626,0.00977626,0.00977626
115,11589.3,1.56444,0.92544,1.49459,0.90864,0.85878,0.93651,0.52797,1.47003,0.74227,1.39365,0.00977428,0.00977428,0.00977428
116,11722.3,1.58697,0.93457,1.49042,0.91133,0.8677,0.93781,0.52822,1.47304,0.73474,1.39442,0.0097723,0.0097723,0.0097723
117,11855.3,1.55166,0.89682,1.46806,0.90957,0.84407,0.92728,0.52188,1.4757,0.76331,1.3968,0.00977032,0.00977032,0.00977032
118,11988.1,1.59459,0.93793,1.49661,0.91517,0.85627,0.93441,0.51456,1.49402,0.76438,1.408,0.00976834,0.00976834,0.00976834
119,12120.8,1.561,0.92168,1.48141,0.90996,0.85035,0.92729,0.51423,1.48258,0.76638,1.4053,0.00976636,0.00976636,0.00976636
120,12253.1,1.53501,0.89312,1.46471,0.90402,0.84757,0.92294,0.51838,1.48089,0.76954,1.41207,0.00976438,0.00976438,0.00976438
121,12385.6,1.56539,0.9173,1.48166,0.90333,0.86141,0.93156,0.53399,1.45346,0.73042,1.3799,0.0097624,0.0097624,0.0097624
122,12518.3,1.55197,0.92587,1.49688,0.90374,0.86546,0.93569,0.53314,1.44072,0.73349,1.38539,0.00976042,0.00976042,0.00976042
123,12650.8,1.56273,0.90813,1.48471,0.91122,0.85967,0.9352,0.53405,1.44019,0.73813,1.38954,0.00975844,0.00975844,0.00975844
124,12783.4,1.53113,0.89592,1.45678,0.91065,0.85777,0.93196,0.52397,1.44459,0.74213,1.38879,0.00975646,0.00975646,0.00975646
125,12915.8,1.5419,0.91231,1.49466,0.90281,0.85271,0.9288,0.52611,1.4572,0.76505,1.40914,0.00975448,0.00975448,0.00975448
126,13048,1.53889,0.92096,1.48347,0.90832,0.87488,0.93871,0.52788,1.44514,0.74353,1.39025,0.0097525,0.0097525,0.0097525
127,13180.4,1.55878,0.92581,1.47513,0.91099,0.86603,0.93746,0.52619,1.46718,0.7608,1.40015,0.00975052,0.00975052,0.00975052
128,13312.7,1.52855,0.90695,1.45142,0.91201,0.86434,0.93706,0.52935,1.47161,0.75321,1.39411,0.00974854,0.00974854,0.00974854
129,13444.9,1.51621,0.90109,1.45368,0.90114,0.85659,0.93414,0.52974,1.44784,0.74689,1.38161,0.00974656,0.00974656,0.00974656
130,13577.1,1.56924,0.90645,1.4839,0.90194,0.86485,0.93621,0.53034,1.45436,0.7457,1.39202,0.00974458,0.00974458,0.00974458
131,13709.9,1.5115,0.86686,1.4418,0.92107,0.87516,0.9459,0.54607,1.41398,0.70461,1.36372,0.0097426,0.0097426,0.0097426
132,13842.6,1.4968,0.88146,1.45249,0.90664,0.85726,0.93208,0.53345,1.4368,0.73684,1.37754,0.00974062,0.00974062,0.00974062
133,13974.9,1.49621,0.85039,1.43237,0.90979,0.87698,0.93917,0.52881,1.44047,0.73249,1.38017,0.00973864,0.00973864,0.00973864
134,14107.6,1.50443,0.85086,1.43826,0.90575,0.8699,0.93798,0.53559,1.44519,0.73245,1.38213,0.00973666,0.00973666,0.00973666
135,14239.6,1.51052,0.87731,1.44904,0.90685,0.8744,0.93872,0.54111,1.43735,0.71921,1.36678,0.00973468,0.00973468,0.00973468
136,14372.1,1.48249,0.85587,1.4407,0.91113,0.87041,0.94185,0.54193,1.4196,0.71618,1.36584,0.0097327,0.0097327,0.0097327
137,14505.2,1.51806,0.87689,1.43953,0.89459,0.86502,0.93625,0.53297,1.43868,0.73764,1.37283,0.00973072,0.00973072,0.00973072
138,14637.6,1.52083,0.8896,1.44305,0.9136,0.87108,0.94518,0.53539,1.43617,0.71141,1.36504,0.00972874,0.00972874,0.00972874
139,14769.7,1.51691,0.89172,1.45423,0.91164,0.87973,0.94596,0.53978,1.41018,0.7074,1.35521,0.00972676,0.00972676,0.00972676
